accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,auc,attribute,model,version,seed,fold,best_params
1.0,1.0,1.0,1.0,1.0,1.0,time_of_day,SVM_RBF,base,42,2,
1.0,1.0,1.0,1.0,1.0,1.0,time_of_day,SVM_RBF,base,7,2,
1.0,1.0,1.0,1.0,1.0,1.0,time_of_day,SVM_RBF,base,123,2,
1.0,1.0,1.0,1.0,1.0,1.0,time_of_day,SVM_RBF,tuned,42,2,"{'clf__C': 1.0, 'clf__gamma': 'scale'}"
1.0,1.0,1.0,1.0,1.0,1.0,time_of_day,SVM_RBF,tuned,7,2,"{'clf__C': 10.0, 'clf__gamma': 'scale'}"
1.0,1.0,1.0,1.0,1.0,1.0,time_of_day,SVM_RBF,tuned,123,2,"{'clf__C': 1.0, 'clf__gamma': 'scale'}"
1.0,1.0,1.0,1.0,1.0,1.0,time_of_day,RandomForest,base,42,2,
1.0,1.0,1.0,1.0,1.0,1.0,time_of_day,RandomForest,base,7,2,
1.0,1.0,1.0,1.0,1.0,1.0,time_of_day,RandomForest,base,123,2,
1.0,1.0,1.0,1.0,1.0,1.0,time_of_day,RandomForest,tuned,42,2,"{'max_depth': None, 'min_samples_split': 10}"
1.0,1.0,1.0,1.0,1.0,1.0,time_of_day,RandomForest,tuned,7,2,"{'max_depth': 10, 'min_samples_split': 2}"
1.0,1.0,1.0,1.0,1.0,1.0,time_of_day,RandomForest,tuned,123,2,"{'max_depth': None, 'min_samples_split': 10}"
1.0,1.0,1.0,1.0,1.0,1.0,time_of_day,XGBoost,base,42,2,
1.0,1.0,1.0,1.0,1.0,1.0,time_of_day,XGBoost,base,7,2,
